Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|05/12/2024|Vente|209000,00|9||RUE|0047|DE L HORLOGE|34790|GRABELS|34|116||AZ|12||9|75,09|||||||||1|2|Appartement||74|3|||
|||||||000001|29/11/2024|Vente|1344,00|35||RUE|0135|DU RIO|34790|GRABELS|34|116||BA|317||||||||||||0||||||S||4
|||||||000001|29/11/2024|Vente|1344,00|35||RUE|0135|DU RIO|34790|GRABELS|34|116||BA|318||||||||||||0||||||S||10
|||||||000001|26/11/2024|Vente|320700,00|204||RUE|0251|DANTE ALIGHIERI|34790|GRABELS|34|116||AH|96||12||38||60||||||3|3|Dépendance||0|0|||
|||||||000001|26/11/2024|Vente|320700,00|204||RUE|0251|DANTE ALIGHIERI|34790|GRABELS|34|116||AH|96||12||38||60||||||3|2|Appartement||79|4|||
|||||||000001|26/11/2024|Vente|320700,00|204||RUE|0251|DANTE ALIGHIERI|34790|GRABELS|34|116||AH|96||12||38||60||||||3|3|Dépendance||0|0|||
|||||||000001|29/11/2024|Vente|56268,40|17|B|RUE|0023|DU BOSQUET|34790|GRABELS|34|116||BA|300||||||||||||0||||||S||158
|||||||000001|29/11/2024|Vente|160,00||||B079|LES FONTANILLES|34790|GRABELS|34|116||BA|290||||||||||||0||||||L||2
|||||||000001|29/11/2024|Vente|160,00|4||IMP|0228|DES FONTANILLES|34790|GRABELS|34|116||BA|303||||||||||||0||||||S||15
|||||||000002|29/11/2024|Vente|4770,00|4||IMP|0228|DES FONTANILLES|34790|GRABELS|34|116||BA|303||||||||||||0||||||S||15
|||||||000001|29/11/2024|Vente|2620,30||||B079|LES FONTANILLES|34790|GRABELS|34|116||BA|289||||||||||||0||||||L||32
|||||||000002|29/11/2024|Vente|18762,00||||B079|LES FONTANILLES|34790|GRABELS|34|116||BA|289||||||||||||0||||||L||32
|||||||000002|29/11/2024|Vente|18762,00|4||IMP|0228|DES FONTANILLES|34790|GRABELS|34|116||BA|302||||||||||||0||||||S||59
